film,horizon,diffusion_steps,guidance_weight,ensemble_temperature,mean_return
True,16,40,1.5,0.0,3404.771331502138
True,64,40,0.5,0.5,3399.9286038361474
True,16,20,1.5,-1.0,3399.8717621231476
True,32,40,0.7,0.0,3394.5066799221368
True,16,40,0.7,0.0,3393.9987678567854
True,16,20,3.0,1.0,3393.8533539335585
True,32,20,0.5,0.5,3379.696573954741
False,64,10,0.7,0.5,3371.4430626331095
True,16,40,3.0,0.0,3370.802251807501
True,64,10,0.5,-1.0,3368.5811138293107
True,64,20,0.5,0.5,3361.726525620585
True,32,10,0.5,0.0,3361.228082667656
True,64,10,0.5,0.0,3358.2200206039015
True,16,40,0.5,0.0,3354.0863302585517
True,64,40,0.7,0.5,3344.0119325132023
False,64,20,0.5,0.5,3339.607691362145
False,64,10,1.5,1.0,3332.0827187222276
False,64,10,1.5,0.5,3330.6614906814384
True,32,20,0.5,0.0,3327.860111301632
True,32,10,0.5,0.5,3325.047233096516
True,64,20,0.5,1.0,3313.45968159926
True,16,10,3.0,-1.0,3303.791078252192
True,32,10,0.5,1.0,3300.763035830607
True,16,20,3.0,0.0,3299.5092458522763
True,64,40,0.7,1.0,3291.2821710710436
True,32,10,0.7,0.0,3289.724193752468
True,16,10,3.0,0.0,3278.3997725523636
True,64,20,0.7,1.0,3262.8377552619895
False,64,10,0.7,1.0,3261.0407064858273
True,32,10,0.5,-1.0,3260.017276551751
True,32,10,0.7,0.5,3257.519338510519
True,64,20,0.7,0.0,3244.678300571675
True,32,20,0.5,1.0,3242.333055773735
True,64,10,0.7,0.0,3234.5215225419192
True,64,10,0.7,-1.0,3233.8422476718265
True,64,20,0.7,-1.0,3230.597762438385
False,64,10,1.5,0.0,3228.301827982838
True,64,20,0.7,0.5,3220.308458301093
True,32,20,0.7,0.5,3214.707368177732
True,64,10,0.7,1.0,3212.331717176302
True,32,20,0.7,1.0,3208.903932891212
True,64,20,0.5,-1.0,3206.1018490323627
True,16,20,3.0,-1.0,3199.3459146947616
True,64,40,0.5,-1.0,3182.2494274995097
True,32,10,0.7,-1.0,3173.061272759057
True,64,20,0.5,0.0,3165.8211701642676
False,64,20,0.7,0.5,3163.5012745190015
True,64,40,0.5,1.0,3148.7215550741344
True,32,20,0.7,-1.0,3143.745475732491
True,32,10,0.7,1.0,3140.85281363171
False,64,10,0.5,0.5,3129.012808520759
True,32,20,0.7,0.0,3126.126751006739
True,64,40,0.5,0.0,3119.637310217393
False,64,10,0.5,1.0,3117.003488780689
True,32,20,0.5,-1.0,3116.517030498098
False,64,20,0.5,1.0,3106.8612558079935
